,time,thscode,close
0,2021-01-04,CI005925.CI,1418.541
1,2021-01-05,CI005925.CI,1434.596
2,2021-01-06,CI005925.CI,1436.771
3,2021-01-07,CI005925.CI,1462.815
4,2021-01-08,CI005925.CI,1459.909
5,2021-01-11,CI005925.CI,1421.537
6,2021-01-12,CI005925.CI,1446.159
7,2021-01-13,CI005925.CI,1432.731
8,2021-01-14,CI005925.CI,1416.357
9,2021-01-15,CI005925.CI,1429.025
10,2021-01-18,CI005925.CI,1459.567
11,2021-01-19,CI005925.CI,1445.065
12,2021-01-20,CI005925.CI,1472.135
13,2021-01-21,CI005925.CI,1502.99
14,2021-01-22,CI005925.CI,1505.056
15,2021-01-25,CI005925.CI,1511.087
16,2021-01-26,CI005925.CI,1493.315
17,2021-01-27,CI005925.CI,1494.014
18,2021-01-28,CI005925.CI,1451.53
19,2021-01-29,CI005925.CI,1432.492
20,2021-02-01,CI005925.CI,1464.783
21,2021-02-02,CI005925.CI,1491.284
22,2021-02-03,CI005925.CI,1490.612
23,2021-02-04,CI005925.CI,1468.008
24,2021-02-05,CI005925.CI,1414.543
25,2021-02-08,CI005925.CI,1457.658
26,2021-02-09,CI005925.CI,1513.235
27,2021-02-10,CI005925.CI,1536.068
28,2021-02-18,CI005925.CI,1598.428
29,2021-02-19,CI005925.CI,1605.558
30,2021-02-22,CI005925.CI,1647.876
31,2021-02-23,CI005925.CI,1623.547
32,2021-02-24,CI005925.CI,1572.877
33,2021-02-25,CI005925.CI,1566.042
34,2021-02-26,CI005925.CI,1518.772
35,2021-03-01,CI005925.CI,1563.781
36,2021-03-02,CI005925.CI,1529.886
37,2021-03-03,CI005925.CI,1573.032
38,2021-03-04,CI005925.CI,1532.46
39,2021-03-05,CI005925.CI,1507.614
40,2021-03-08,CI005925.CI,1482.136
41,2021-03-09,CI005925.CI,1449.693
42,2021-03-10,CI005925.CI,1446.411
43,2021-03-11,CI005925.CI,1502.0
44,2021-03-12,CI005925.CI,1508.496
45,2021-03-15,CI005925.CI,1506.36
46,2021-03-16,CI005925.CI,1499.355
47,2021-03-17,CI005925.CI,1506.987
48,2021-03-18,CI005925.CI,1521.11
49,2021-03-19,CI005925.CI,1487.302
50,2021-03-22,CI005925.CI,1491.843
51,2021-03-23,CI005925.CI,1441.14
52,2021-03-24,CI005925.CI,1389.182
53,2021-03-25,CI005925.CI,1402.806
54,2021-03-26,CI005925.CI,1430.005
55,2021-03-29,CI005925.CI,1444.695
56,2021-03-30,CI005925.CI,1452.822
57,2021-03-31,CI005925.CI,1434.965
58,2021-04-01,CI005925.CI,1452.048
59,2021-04-02,CI005925.CI,1453.984
60,2021-04-06,CI005925.CI,1461.796
61,2021-04-07,CI005925.CI,1476.658
62,2021-04-08,CI005925.CI,1485.053
63,2021-04-09,CI005925.CI,1480.647
64,2021-04-12,CI005925.CI,1441.365
65,2021-04-13,CI005925.CI,1433.271
66,2021-04-14,CI005925.CI,1458.397
67,2021-04-15,CI005925.CI,1466.5
68,2021-04-16,CI005925.CI,1470.777
69,2021-04-19,CI005925.CI,1505.002
70,2021-04-20,CI005925.CI,1505.846
71,2021-04-21,CI005925.CI,1496.52
72,2021-04-22,CI005925.CI,1502.831
73,2021-04-23,CI005925.CI,1512.213
74,2021-04-26,CI005925.CI,1516.351
75,2021-04-27,CI005925.CI,1510.654
76,2021-04-28,CI005925.CI,1521.535
77,2021-04-30,CI005925.CI,1516.087
78,2021-05-06,CI005925.CI,1551.413
79,2021-05-07,CI005925.CI,1570.695
80,2021-05-10,CI005925.CI,1611.168
81,2021-05-11,CI005925.CI,1569.636
82,2021-05-12,CI005925.CI,1589.164
83,2021-05-13,CI005925.CI,1539.025
84,2021-05-14,CI005925.CI,1544.779
85,2021-05-17,CI005925.CI,1562.607
86,2021-05-18,CI005925.CI,1578.046
87,2021-05-19,CI005925.CI,1573.793
88,2021-05-20,CI005925.CI,1537.909
89,2021-05-21,CI005925.CI,1544.135
90,2021-05-24,CI005925.CI,1543.054
91,2021-05-25,CI005925.CI,1565.309
92,2021-05-26,CI005925.CI,1578.876
93,2021-05-27,CI005925.CI,1590.424
94,2021-05-28,CI005925.CI,1596.755
95,2021-05-31,CI005925.CI,1618.417
96,2021-06-01,CI005925.CI,1635.245
97,2021-06-02,CI005925.CI,1624.668
98,2021-06-03,CI005925.CI,1627.16
99,2021-06-04,CI005925.CI,1629.759
100,2021-06-07,CI005925.CI,1638.278
101,2021-06-08,CI005925.CI,1615.393
102,2021-06-09,CI005925.CI,1636.375
103,2021-06-10,CI005925.CI,1647.617
104,2021-06-11,CI005925.CI,1647.24
105,2021-06-15,CI005925.CI,1617.072
106,2021-06-16,CI005925.CI,1574.168
107,2021-06-17,CI005925.CI,1579.765
108,2021-06-18,CI005925.CI,1589.652
109,2021-06-21,CI005925.CI,1593.411
110,2021-06-22,CI005925.CI,1608.891
111,2021-06-23,CI005925.CI,1632.336
112,2021-06-24,CI005925.CI,1628.12
