,time,thscode,close
0,2023-01-03,CI005925.CI,1643.3278
1,2023-01-04,CI005925.CI,1629.2001
2,2023-01-05,CI005925.CI,1647.8658
3,2023-01-06,CI005925.CI,1667.9516
4,2023-01-09,CI005925.CI,1689.3064
5,2023-01-10,CI005925.CI,1682.9664
6,2023-01-11,CI005925.CI,1682.8351
7,2023-01-12,CI005925.CI,1687.192
8,2023-01-13,CI005925.CI,1691.6124
9,2023-01-16,CI005925.CI,1707.3867
10,2023-01-17,CI005925.CI,1709.2699
11,2023-01-18,CI005925.CI,1717.4488
12,2023-01-19,CI005925.CI,1727.4873
13,2023-01-20,CI005925.CI,1756.6456
14,2023-01-30,CI005925.CI,1769.4568
15,2023-01-31,CI005925.CI,1779.9497
16,2023-02-01,CI005925.CI,1810.4669
17,2023-02-02,CI005925.CI,1810.9394
18,2023-02-03,CI005925.CI,1793.6793
19,2023-02-06,CI005925.CI,1772.4278
20,2023-02-07,CI005925.CI,1780.4498
21,2023-02-08,CI005925.CI,1775.0782
22,2023-02-09,CI005925.CI,1790.2622
23,2023-02-10,CI005925.CI,1774.37
24,2023-02-13,CI005925.CI,1786.2459
25,2023-02-14,CI005925.CI,1799.1694
26,2023-02-15,CI005925.CI,1786.0229
27,2023-02-16,CI005925.CI,1747.7788
28,2023-02-17,CI005925.CI,1749.8254
29,2023-02-20,CI005925.CI,1777.2329
30,2023-02-21,CI005925.CI,1800.4702
31,2023-02-22,CI005925.CI,1789.9735
32,2023-02-23,CI005925.CI,1791.708
33,2023-02-24,CI005925.CI,1777.8563
34,2023-02-27,CI005925.CI,1773.081
35,2023-02-28,CI005925.CI,1776.6272
36,2023-03-01,CI005925.CI,1787.3634
37,2023-03-02,CI005925.CI,1779.2809
38,2023-03-03,CI005925.CI,1777.4945
39,2023-03-06,CI005925.CI,1770.6849
40,2023-03-07,CI005925.CI,1751.4411
41,2023-03-08,CI005925.CI,1746.5038
42,2023-03-09,CI005925.CI,1744.5792
43,2023-03-10,CI005925.CI,1713.6025
44,2023-03-13,CI005925.CI,1720.51
45,2023-03-14,CI005925.CI,1703.7299
46,2023-03-15,CI005925.CI,1711.7698
47,2023-03-16,CI005925.CI,1668.397
48,2023-03-17,CI005925.CI,1678.9446
49,2023-03-20,CI005925.CI,1678.221
50,2023-03-21,CI005925.CI,1692.8282
51,2023-03-22,CI005925.CI,1691.9564
52,2023-03-23,CI005925.CI,1694.8936
53,2023-03-24,CI005925.CI,1687.6479
54,2023-03-27,CI005925.CI,1683.0204
55,2023-03-28,CI005925.CI,1676.8269
56,2023-03-29,CI005925.CI,1669.2275
57,2023-03-30,CI005925.CI,1681.1725
58,2023-03-31,CI005925.CI,1689.4136
59,2023-04-03,CI005925.CI,1694.9616
60,2023-04-04,CI005925.CI,1681.4833
61,2023-04-06,CI005925.CI,1684.6848
62,2023-04-07,CI005925.CI,1686.4167
63,2023-04-10,CI005925.CI,1688.4876
64,2023-04-11,CI005925.CI,1700.2429
65,2023-04-12,CI005925.CI,1703.2268
66,2023-04-13,CI005925.CI,1690.9142
67,2023-04-14,CI005925.CI,1716.0902
68,2023-04-17,CI005925.CI,1737.4401
69,2023-04-18,CI005925.CI,1735.7669
70,2023-04-19,CI005925.CI,1724.1807
71,2023-04-20,CI005925.CI,1698.8921
72,2023-04-21,CI005925.CI,1660.419
73,2023-04-24,CI005925.CI,1635.9627
