,time,thscode,close
0,2019-07-01,CI005925.CI,1094.8808
1,2019-07-02,CI005925.CI,1097.652
2,2019-07-03,CI005925.CI,1087.3758
3,2019-07-04,CI005925.CI,1082.3021
4,2019-07-05,CI005925.CI,1084.9288
5,2019-07-08,CI005925.CI,1051.066
6,2019-07-09,CI005925.CI,1055.5761
7,2019-07-10,CI005925.CI,1044.1221
8,2019-07-11,CI005925.CI,1051.1313
9,2019-07-12,CI005925.CI,1057.8154
10,2019-07-15,CI005925.CI,1062.4877
11,2019-07-16,CI005925.CI,1065.3193
12,2019-07-17,CI005925.CI,1067.0749
13,2019-07-18,CI005925.CI,1054.7705
14,2019-07-19,CI005925.CI,1060.8364
15,2019-07-22,CI005925.CI,1034.8396
16,2019-07-23,CI005925.CI,1042.456
17,2019-07-24,CI005925.CI,1051.7964
18,2019-07-25,CI005925.CI,1048.8167
19,2019-07-26,CI005925.CI,1048.4307
20,2019-07-29,CI005925.CI,1047.2492
21,2019-07-30,CI005925.CI,1054.7097
22,2019-07-31,CI005925.CI,1049.9288
23,2019-08-01,CI005925.CI,1044.0019
24,2019-08-02,CI005925.CI,1032.9042
25,2019-08-05,CI005925.CI,1022.1496
26,2019-08-06,CI005925.CI,994.4422
27,2019-08-07,CI005925.CI,1004.3657
28,2019-08-08,CI005925.CI,1008.1974
29,2019-08-09,CI005925.CI,998.1003
30,2019-08-12,CI005925.CI,1005.6459
31,2019-08-13,CI005925.CI,1003.6135
32,2019-08-14,CI005925.CI,1006.1115
33,2019-08-15,CI005925.CI,1004.9856
34,2019-08-16,CI005925.CI,1006.7484
35,2019-08-19,CI005925.CI,1026.6458
36,2019-08-20,CI005925.CI,1029.2658
37,2019-08-21,CI005925.CI,1025.1281
38,2019-08-22,CI005925.CI,1024.8114
39,2019-08-23,CI005925.CI,1023.1983
40,2019-08-26,CI005925.CI,1018.0762
41,2019-08-27,CI005925.CI,1032.879
42,2019-08-28,CI005925.CI,1031.338
43,2019-08-29,CI005925.CI,1031.7154
44,2019-08-30,CI005925.CI,1023.9425
45,2019-09-02,CI005925.CI,1042.2741
46,2019-09-03,CI005925.CI,1044.3535
47,2019-09-04,CI005925.CI,1058.565
48,2019-09-05,CI005925.CI,1066.2788
49,2019-09-06,CI005925.CI,1066.3982
50,2019-09-09,CI005925.CI,1082.8389
51,2019-09-10,CI005925.CI,1085.3056
52,2019-09-11,CI005925.CI,1084.7955
53,2019-09-12,CI005925.CI,1089.0165
54,2019-09-16,CI005925.CI,1094.6391
55,2019-09-17,CI005925.CI,1072.8229
56,2019-09-18,CI005925.CI,1067.0447
57,2019-09-19,CI005925.CI,1073.9048
58,2019-09-20,CI005925.CI,1071.8729
59,2019-09-23,CI005925.CI,1060.6033
60,2019-09-24,CI005925.CI,1059.9924
61,2019-09-25,CI005925.CI,1049.067
62,2019-09-26,CI005925.CI,1026.7796
63,2019-09-27,CI005925.CI,1028.9758
64,2019-09-30,CI005925.CI,1023.5603
65,2019-10-08,CI005925.CI,1024.1202
66,2019-10-09,CI005925.CI,1033.4059
