,time,thscode,close
0,2020-06-30,CI005925.CI,1062.168
1,2020-07-01,CI005925.CI,1071.876
2,2020-07-02,CI005925.CI,1089.31
3,2020-07-03,CI005925.CI,1106.934
4,2020-07-06,CI005925.CI,1162.604
5,2020-07-07,CI005925.CI,1172.017
6,2020-07-08,CI005925.CI,1200.46
7,2020-07-09,CI005925.CI,1233.669
8,2020-07-10,CI005925.CI,1209.932
9,2020-07-13,CI005925.CI,1253.034
10,2020-07-14,CI005925.CI,1237.373
11,2020-07-15,CI005925.CI,1210.823
12,2020-07-16,CI005925.CI,1161.524
13,2020-07-17,CI005925.CI,1168.372
14,2020-07-20,CI005925.CI,1222.125
15,2020-07-21,CI005925.CI,1223.815
16,2020-07-22,CI005925.CI,1234.63
17,2020-07-23,CI005925.CI,1231.157
18,2020-07-24,CI005925.CI,1183.168
19,2020-07-27,CI005925.CI,1195.215
20,2020-07-28,CI005925.CI,1207.064
21,2020-07-29,CI005925.CI,1228.52
22,2020-07-30,CI005925.CI,1225.582
23,2020-07-31,CI005925.CI,1238.256
24,2020-08-03,CI005925.CI,1268.167
25,2020-08-04,CI005925.CI,1267.986
26,2020-08-05,CI005925.CI,1288.791
27,2020-08-06,CI005925.CI,1297.233
28,2020-08-07,CI005925.CI,1284.358
29,2020-08-10,CI005925.CI,1276.492
30,2020-08-11,CI005925.CI,1250.733
31,2020-08-12,CI005925.CI,1235.788
32,2020-08-13,CI005925.CI,1241.623
33,2020-08-14,CI005925.CI,1247.614
34,2020-08-17,CI005925.CI,1276.263
35,2020-08-18,CI005925.CI,1289.766
36,2020-08-19,CI005925.CI,1276.894
37,2020-08-20,CI005925.CI,1258.119
38,2020-08-21,CI005925.CI,1261.947
39,2020-08-24,CI005925.CI,1270.352
40,2020-08-25,CI005925.CI,1257.681
41,2020-08-26,CI005925.CI,1231.176
42,2020-08-27,CI005925.CI,1242.734
43,2020-08-28,CI005925.CI,1260.729
44,2020-08-31,CI005925.CI,1263.84
45,2020-09-01,CI005925.CI,1276.187
46,2020-09-02,CI005925.CI,1271.776
47,2020-09-03,CI005925.CI,1264.448
48,2020-09-04,CI005925.CI,1261.389
49,2020-09-07,CI005925.CI,1243.082
50,2020-09-08,CI005925.CI,1250.234
51,2020-09-09,CI005925.CI,1223.722
52,2020-09-10,CI005925.CI,1201.364
53,2020-09-11,CI005925.CI,1208.257
54,2020-09-14,CI005925.CI,1222.438
55,2020-09-15,CI005925.CI,1233.378
56,2020-09-16,CI005925.CI,1227.792
57,2020-09-17,CI005925.CI,1228.873
58,2020-09-18,CI005925.CI,1250.767
59,2020-09-21,CI005925.CI,1247.705
60,2020-09-22,CI005925.CI,1219.553
61,2020-09-23,CI005925.CI,1219.219
62,2020-09-24,CI005925.CI,1186.762
63,2020-09-25,CI005925.CI,1184.731
64,2020-09-28,CI005925.CI,1177.441
65,2020-09-29,CI005925.CI,1188.448
66,2020-09-30,CI005925.CI,1179.881
67,2020-10-09,CI005925.CI,1216.071
68,2020-10-12,CI005925.CI,1250.451
69,2020-10-13,CI005925.CI,1256.863
70,2020-10-14,CI005925.CI,1251.136
71,2020-10-15,CI005925.CI,1247.974
72,2020-10-16,CI005925.CI,1245.809
73,2020-10-19,CI005925.CI,1242.913
74,2020-10-20,CI005925.CI,1250.008
75,2020-10-21,CI005925.CI,1238.192
76,2020-10-22,CI005925.CI,1230.789
77,2020-10-23,CI005925.CI,1218.291
78,2020-10-26,CI005925.CI,1217.9
79,2020-10-27,CI005925.CI,1223.439
80,2020-10-28,CI005925.CI,1237.953
81,2020-10-29,CI005925.CI,1228.199
82,2020-10-30,CI005925.CI,1203.504
83,2020-11-02,CI005925.CI,1216.2
84,2020-11-03,CI005925.CI,1243.66
85,2020-11-04,CI005925.CI,1248.083
86,2020-11-05,CI005925.CI,1272.303
87,2020-11-06,CI005925.CI,1275.2
